D0 00 FF F1 04 D0 02 30 
D0 03 40 D3 00 02 D3 01 
03 DB 00 00 C1 EC F1 04 
A5 01 C2 FC A4 02 A4 03 
C0 EB 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
4F 1D 8B 1D 4E 1E 8E 2F 
8C 1F 4E 00 00 00 00 00 
0B 03 08 03 06 03 09 05 
03 08 0C 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 
